Year,Area,Item,Value
2006,"China, Hong Kong SAR",Sodium nitrate,169.21
2007,"China, Hong Kong SAR",Sodium nitrate,62.96
2008,"China, Hong Kong SAR",Sodium nitrate,109.35
2009,"China, Hong Kong SAR",Sodium nitrate,117.32
2010,"China, Hong Kong SAR",Sodium nitrate,26.51
2013,"China, Hong Kong SAR",Sodium nitrate,29.57
2014,"China, Hong Kong SAR",Sodium nitrate,91.85
2015,"China, Hong Kong SAR",Sodium nitrate,63.39
2016,"China, Hong Kong SAR",Sodium nitrate,14.94
2017,"China, Hong Kong SAR",Sodium nitrate,17.25
2013,"China, Hong Kong SAR",Superphosphates above 35%,52.3
2016,"China, Hong Kong SAR",Superphosphates above 35%,18.4
2017,"China, Hong Kong SAR",Superphosphates above 35%,10.93
2002,"China, Hong Kong SAR",Urea,72.39
2003,"China, Hong Kong SAR",Urea,37.68
2004,"China, Hong Kong SAR",Urea,269.22
2005,"China, Hong Kong SAR",Urea,53.76
2006,"China, Hong Kong SAR",Urea,1.15
2007,"China, Hong Kong SAR",Urea,12.2
2008,"China, Hong Kong SAR",Urea,21.3
2009,"China, Hong Kong SAR",Urea,8.63
2010,"China, Hong Kong SAR",Urea,2.99
2011,"China, Hong Kong SAR",Urea,1.66
2012,"China, Hong Kong SAR",Urea,60.22
2013,"China, Hong Kong SAR",Urea,183.52
2014,"China, Hong Kong SAR",Urea,245.36
2015,"China, Hong Kong SAR",Urea,123.6
2016,"China, Hong Kong SAR",Urea,107.83
2017,"China, Hong Kong SAR",Urea,255.96
2002,"China, Hong Kong SAR",Urea and ammonium nitrate solutions (UAN),0.34
2007,"China, Hong Kong SAR",Urea and ammonium nitrate solutions (UAN),1.51
2012,"China, Hong Kong SAR",Urea and ammonium nitrate solutions (UAN),14.16
2008,"China, Macao SAR",Ammonium sulphate,0.32
2009,"China, Macao SAR",Fertilizers n.e.c.,3.16
2006,"China, Macao SAR",Phosphate rock,1.5
2002,"China, mainland","Ammonia, anhydrous",25.5
2003,"China, mainland","Ammonia, anhydrous",45.76
2004,"China, mainland","Ammonia, anhydrous",24.82
2005,"China, mainland","Ammonia, anhydrous",189.9
2006,"China, mainland","Ammonia, anhydrous",151.47
2007,"China, mainland","Ammonia, anhydrous",90.16
2008,"China, mainland","Ammonia, anhydrous",63.3
2009,"China, mainland","Ammonia, anhydrous",185.11
2010,"China, mainland","Ammonia, anhydrous",585.55
2011,"China, mainland","Ammonia, anhydrous",335.89
2012,"China, mainland","Ammonia, anhydrous",4987.33
2013,"China, mainland","Ammonia, anhydrous",24759.34
2014,"China, mainland","Ammonia, anhydrous",7861.81
2015,"China, mainland","Ammonia, anhydrous",16847.43
2016,"China, mainland","Ammonia, anhydrous",3285.59
2017,"China, mainland","Ammonia, anhydrous",3908.69
2002,"China, mainland",Ammonium nitrate (AN),12944.34
2003,"China, mainland",Ammonium nitrate (AN),19396.23
2004,"China, mainland",Ammonium nitrate (AN),33208.5
2005,"China, mainland",Ammonium nitrate (AN),57564.67
2006,"China, mainland",Ammonium nitrate (AN),56626.16
2007,"China, mainland",Ammonium nitrate (AN),66157.47
2008,"China, mainland",Ammonium nitrate (AN),58656.34
2009,"China, mainland",Ammonium nitrate (AN),71492.8
