Year,Area,Item,Value
2012,Indonesia,Urea,6907237.0
2013,Indonesia,Urea,6698349.0
2014,Indonesia,Urea,6742366.0
2015,Indonesia,Urea,6917372.0
2016,Indonesia,Urea,6462938.0
2017,Indonesia,Urea,6838063.0
2002,Iran (Islamic Republic of),Ammonium nitrate (AN),178547.0
2003,Iran (Islamic Republic of),Ammonium nitrate (AN),119334.0
2004,Iran (Islamic Republic of),Ammonium nitrate (AN),116954.0
2005,Iran (Islamic Republic of),Ammonium nitrate (AN),84311.0
2006,Iran (Islamic Republic of),Ammonium nitrate (AN),178261.0
2007,Iran (Islamic Republic of),Ammonium nitrate (AN),136026.0
2008,Iran (Islamic Republic of),Ammonium nitrate (AN),118481.0
2009,Iran (Islamic Republic of),Ammonium nitrate (AN),72258.0
2010,Iran (Islamic Republic of),Ammonium nitrate (AN),22107.0
2011,Iran (Islamic Republic of),Ammonium nitrate (AN),7045.0
2012,Iran (Islamic Republic of),Ammonium nitrate (AN),10029.0
2013,Iran (Islamic Republic of),Ammonium nitrate (AN),102077.0
2014,Iran (Islamic Republic of),Ammonium nitrate (AN),89682.0
2015,Iran (Islamic Republic of),Ammonium nitrate (AN),83899.0
2016,Iran (Islamic Republic of),Ammonium nitrate (AN),68428.0
2002,Iran (Islamic Republic of),Ammonium sulphate,9581.0
2003,Iran (Islamic Republic of),Ammonium sulphate,7981.0
2004,Iran (Islamic Republic of),Ammonium sulphate,2045.0
2005,Iran (Islamic Republic of),Ammonium sulphate,7768.0
2006,Iran (Islamic Republic of),Ammonium sulphate,6645.0
2007,Iran (Islamic Republic of),Ammonium sulphate,9453.0
2008,Iran (Islamic Republic of),Ammonium sulphate,1437.0
2013,Iran (Islamic Republic of),Ammonium sulphate,18319.0
2014,Iran (Islamic Republic of),Ammonium sulphate,13222.0
2015,Iran (Islamic Republic of),Ammonium sulphate,21606.0
2016,Iran (Islamic Republic of),Ammonium sulphate,37658.0
2002,Iran (Islamic Republic of),Diammonium phosphate (DAP),251747.0
2003,Iran (Islamic Republic of),Diammonium phosphate (DAP),265021.0
2004,Iran (Islamic Republic of),Diammonium phosphate (DAP),260680.0
2005,Iran (Islamic Republic of),Diammonium phosphate (DAP),261747.0
2006,Iran (Islamic Republic of),Diammonium phosphate (DAP),226958.0
2007,Iran (Islamic Republic of),Diammonium phosphate (DAP),74187.0
2009,Iran (Islamic Republic of),Diammonium phosphate (DAP),9235.0
2010,Iran (Islamic Republic of),Diammonium phosphate (DAP),14844.0
